domain,source_name
ca.finance.yahoo.com,Yahoo Finance Canada
rigzone.com,Rigzone
chainstoreage.com,CSA Chain Store Age
newsfilecorp.com,TMX Newsfile
globenewswire.com,GlobeNewswire
barrons.com,Barron's
ttnews.com,Transport Topics
businesswire.com,Business Wire
investors.com,Investor's Business Daily
qz.com,Quartz
seekingalpha.com,Seeking Alpha
finance.yahoo.com,Yahoo Finance
marketwatch.com,MarketWatch
youtube.com,Youtube
prnewswire.com,PR Newswire
digitimes.com,Digitimes Asia
accesswire.com,Access Newswire
wsj.com,The Wall Street Journal
elite.finviz.com,Finviz
nrn.com,NRN Nation's Restaurant News
pharmaceutical-business-review.com,PBR Pharmaceutical Business Review
investorplace.com,InvestorPlace
appleinsider.com,Apple Insider
rttnews.com,RTT News
aboveavalon.com,Above Avalon
accessnewswire.com,Access Newswire